family,tf,pair,params,horizon_bars,N,MEAN,MEDIAN,WIN,STD,MEAN_LOW,MEAN_NORMAL,MEAN_STRESS,MEAN_EX99,MEAN_LONG,MEAN_SHORT,N_LONG,N_SHORT,YEARS_POS_NORMAL,N_YEARS
F2_donchian,H1,GBPUSD,"{""lookback"": 20}",24,3937,-1.6377698755397385,-0.4999999999988347,0.49555499110998225,85.27059280527304,-2.6377698755397385,-3.6377698755397385,-5.137769875539739,-4.300025660764677,-4.539235931853374,1.17230000000002,1937,2000,2,9
F2_donchian,H1,GBPUSD,"{""lookback"": 20}",48,3936,-2.926270325203266,1.7999999999995797,0.5076219512195121,120.16005527111285,-3.926270325203266,-4.926270325203266,-6.426270325203266,-6.303542094455868,-6.601962809917377,0.6317999999999908,1936,2000,3,9
F2_donchian,H1,GBPUSD,"{""lookback"": 40}",4,2732,-1.774414348462672,-2.4999999999997247,0.4564421669106881,43.417175626119544,-2.774414348462672,-3.774414348462672,-5.274414348462672,-3.4558431952662785,-2.8977375565611023,-0.7150071123755318,1326,1406,2,9
F2_donchian,H1,GBPUSD,"{""lookback"": 40}",12,2731,-2.855071402416725,-2.80000000000058,0.4683266202856097,61.959272920429186,-3.855071402416725,-4.8550714024167245,-6.3550714024167245,-5.039992600813936,-4.559169811320792,-1.2491465149360088,1325,1406,1,9
F2_donchian,H1,GBPUSD,"{""lookback"": 40}",24,2730,-3.8406959706959674,-2.0999999999993246,0.48315018315018315,87.85099949560791,-4.840695970695967,-5.840695970695967,-7.340695970695967,-6.669837157660986,-6.994939577039251,-0.8704125177809552,1324,1406,1,9
F2_donchian,H1,GBPUSD,"{""lookback"": 40}",48,2729,-5.607914987174798,1.7000000000000348,0.5056797361670942,121.8251905946784,-6.607914987174798,-7.607914987174798,-9.107914987174798,-9.062643465383202,-9.206651549508715,-2.2216216216216194,1323,1406,1,9
F2_donchian,H1,GBPUSD,"{""lookback"": 80}",4,1874,-1.815421558164366,-2.500000000000835,0.45250800426894344,45.2724472692783,-2.815421558164366,-3.815421558164366,-5.315421558164366,-3.6208086253369376,-2.852844638949682,-0.8277083333333461,914,960,1,9
F2_donchian,H1,GBPUSD,"{""lookback"": 80}",12,1873,-2.6568606513614887,-3.60000000000138,0.4671649759743727,63.495053538838015,-3.6568606513614887,-4.656860651361489,-6.156860651361489,-4.953775620280511,-3.75038335158821,-1.6168750000000345,913,960,1,9
F2_donchian,H1,GBPUSD,"{""lookback"": 80}",24,1872,-2.8792735042735167,-1.9999999999997797,0.48344017094017094,91.08875924519712,-3.8792735042735167,-4.879273504273517,-6.379273504273517,-5.950944414463043,-5.466557017543841,-0.4213541666667093,912,960,1,9
F2_donchian,H1,GBPUSD,"{""lookback"": 80}",48,1872,-4.5504807692308,3.249999999999087,0.5138888888888888,125.4434217386144,-5.5504807692308,-6.5504807692308,-8.0504807692308,-8.095736643281198,-7.972587719298292,-1.2994791666666827,912,960,1,9
