status,dir,orig_entry_time,orig_exit_time,orig_dir,t_stop_ns,stop_confirmed,entry_ts_ns,entry_ref_px,entry_fill_px,sl,tp,risk_pips,exit_type,exit_ts_ns,exit_px,net_pips,r,be_moved
TRADE,1,2013-02-12 08:45:00,2013-02-12 10:00:00,-1,1360656900748000000,False,1360656906459000000,1.33807,1.33807,1.33674,1.3413950000000003,13.3,STOP,1360657664679000000,1.33674,-13.3,-1.0,False
TRADE,1,2013-02-18 08:15:00,2013-02-18 10:15:00,-1,1361176201859000000,False,1361176208089000000,1.33331,1.33331,1.3328900000000001,1.3343599999999998,4.2,STOP,1361178467723000000,1.3334,0.9,0.21429,True
TRADE,1,2013-02-19 11:00:00,2013-02-19 11:00:00,-1,1361265303360000000,False,1361265311721000000,1.33506,1.33506,1.3338,1.3382099999999995,12.6,STOP,1361268945916000000,1.33515,0.9,0.07143,True
TRADE,-1,2013-03-05 09:00:00,2013-03-05 11:30:00,1,1362476700005000000,False,1362476705392000000,1.30563,1.30563,1.30635,1.3038300000000005,7.2,STOP,1362477381463000000,1.30635,-7.2,-1.0,False
TRADE,1,2013-03-11 09:30:00,2013-03-11 18:00:00,-1,1363018500213000000,False,1363018508272000000,1.30105,1.30105,1.3005,1.3024250000000002,5.5,TARGET,1363022850350000000,1.3024250000000002,13.75,2.5,True
TRADE,1,2013-03-28 09:45:00,2013-03-28 12:30:00,-1,1364467500434000000,False,1364467505837000000,1.28023,1.28023,1.27896,1.2834049999999997,12.7,STOP,1364473058139000000,1.28033,1.0,0.07874,True
TRADE,1,2013-04-15 10:00:00,2013-04-15 14:15:00,-1,1366025400248000000,False,1366025406082000000,1.30741,1.30741,1.3071,1.308185,3.1,STOP,1366025922741000000,1.3075,0.9,0.29032,True
TRADE,1,2013-04-22 08:15:00,2013-04-22 09:00:00,-1,1366611300852000000,False,1366611306032000000,1.30571,1.30571,1.30474,1.3081349999999996,9.7,STOP,1366615600821000000,1.30581,1.0,0.10309,True
TRADE,1,2013-04-22 09:30:00,2013-04-23 09:00:00,-1,1366697700717000000,False,1366697705887000000,1.30433,1.30433,1.30345,1.30653,8.8,TARGET,1366700497271000000,1.30653,22.0,2.5,True
TRADE,1,2013-04-24 14:30:00,2013-04-24 19:00:00,-1,1366820100494000000,False,1366820111003000000,1.29953,1.29953,1.29937,1.2999300000000005,1.6,TARGET,1366820619455000000,1.2999300000000005,4.0,2.5,True
TRADE,-1,2013-05-02 10:15:00,2013-05-02 13:45:00,1,1367492400489000000,False,1367492406478000000,1.31666,1.31666,1.32118,1.3053599999999999,45.2,STOP,1367496200751000000,1.32118,-45.2,-1.0,False
TRADE,1,2013-05-07 08:15:00,2013-05-07 12:00:00,-1,1367918101217000000,False,1367918109376000000,1.30799,1.30799,1.30668,1.3112649999999997,13.1,TARGET,1367921660722000000,1.3112649999999997,32.75,2.5,True
TRADE,-1,2013-05-14 09:15:00,2013-05-14 09:30:00,1,1368513900398000000,False,1368513908737000000,1.30047,1.30047,1.3017699999999999,1.2972200000000003,13.0,STOP,1368522591753000000,1.3004,0.7,0.05385,True
SKIP_OVERLAP,,2013-05-14 11:00:00,2013-05-14 11:00:00,-1,,,,,,,,,,,,,,
INVALID_LEVELS,,2013-05-21 11:30:00,2013-05-21 12:15:00,1,1369128600174000000,,,,,,,,,,,,,
SKIP_DAILY,,2013-05-21 16:00:00,2013-05-21 17:00:00,-1,1369145700165000000,,,,,,,,,,,,,
TRADE,1,2013-05-28 11:15:00,2013-05-28 11:15:00,-1,1369729803010000000,False,1369729809175000000,1.29063,1.29063,1.28934,1.293855,12.9,TARGET,1369739771247000000,1.293855,32.25,2.5,True
SKIP_DAILY,,2013-06-25 11:15:00,2013-06-25 13:45:00,-1,1372158000495000000,,,,,,,,,,,,,
TRADE,1,2013-07-04 09:15:00,2013-07-04 11:45:00,-1,1372928400787000000,False,1372928406188000000,1.29968,1.29968,1.29926,1.3007299999999997,4.2,TARGET,1372934249089000000,1.3007299999999997,10.5,2.5,True
TRADE,1,2013-07-10 14:15:00,2013-07-10 15:45:00,-1,1373461200050000000,False,1373461205435000000,1.28191,1.28191,1.28117,1.2837600000000005,7.4,TARGET,1373465006267000000,1.2837600000000005,18.5,2.5,True
TRADE,-1,2013-07-23 09:15:00,2013-07-23 11:00:00,1,1374567303016000000,False,1374567308135000000,1.31961,1.31961,1.31964,1.3195350000000001,0.3,STOP,1374567308814000000,1.31964,-0.3,-1.0,False
TRADE,1,2013-08-13 09:30:00,2013-08-13 11:15:00,-1,1376382600316000000,False,1376382605318000000,1.32853,1.32853,1.32842,1.328805,1.1,STOP,1376382611474000000,1.32838,-1.5,-1.36364,False
TRADE,1,2013-08-22 16:30:00,2013-08-22 17:00:00,-1,1377180900232000000,False,1377180908682000000,1.33426,1.33426,1.33244,1.3388099999999998,18.2,STOP,1377216319005000000,1.33436,1.0,0.05495,True
TRADE,-1,2013-08-28 11:30:00,2013-08-28 12:30:00,1,1377683100506000000,False,1377683106225000000,1.33754,1.33754,1.33764,1.3372899999999999,1.0,STOP,1377683389217000000,1.33744,1.0,1.0,True
TRADE,1,2013-09-04 10:00:00,2013-09-04 11:00:00,-1,1378282501745000000,False,1378282509235000000,1.31656,1.31656,1.3162,1.3174599999999996,3.6,TARGET,1378284897871000000,1.3174599999999996,9.0,2.5,True
SKIP_DAILY,,2013-09-23 14:30:00,2013-09-23 15:15:00,1,1379939400384000000,,,,,,,,,,,,,
TRADE,1,2013-09-24 11:00:00,2013-09-25 11:45:00,-1,1380099600047000000,False,1380099611896000000,1.34975,1.34975,1.34931,1.3508499999999999,4.4,TARGET,1380101409489000000,1.3508499999999999,11.0,2.5,True
TRADE,1,2013-09-26 15:30:00,2013-09-26 16:00:00,-1,1380201301019000000,False,1380201307229000000,1.34979,1.34979,1.34802,1.3542150000000002,17.7,STOP,1380207588040000000,1.34801,-17.8,-1.00565,False
INVALID_LEVELS,,2013-10-07 14:00:00,2013-10-07 17:15:00,-1,1381156200544000000,,,,,,,,,,,,,
TRADE,-1,2013-10-08 15:45:00,2013-10-08 18:45:00,1,1381248001799000000,False,1381248006864000000,1.35805,1.35805,1.35825,1.35755,2.0,TARGET,1381248059960000000,1.35755,5.0,2.5,True
TRADE,-1,2013-11-06 08:45:00,2013-11-06 09:15:00,1,1383723013105000000,False,1383723018789000000,1.34939,1.34939,1.35107,1.3451900000000003,16.8,STOP,1383730533548000000,1.3511,-17.1,-1.01786,False
INVALID_LEVELS,,2013-11-12 09:45:00,2013-11-12 11:45:00,-1,1384250400322000000,,,,,,,,,,,,,
INVALID_LEVELS,,2013-11-14 09:15:00,2013-11-14 10:30:00,1,1384418700788000000,,,,,,,,,,,,,
SKIP_DAILY,,2013-11-14 16:00:00,2013-11-14 16:30:00,1,1384440301485000000,,,,,,,,,,,,,
TRADE,-1,2013-11-19 10:00:00,2013-11-19 11:00:00,1,1384852500191000000,False,1384852505816000000,1.35144,1.35144,1.35229,1.3493149999999998,8.5,TARGET,1384855590817000000,1.3493149999999998,21.25,2.5,True
SKIP_DAILY,,2013-11-19 15:45:00,2013-11-19 15:45:00,1,1384869600492000000,,,,,,,,,,,,,
TRADE,-1,2013-11-20 15:30:00,2013-11-20 16:15:00,1,1384957801156000000,False,1384957810586000000,1.35377,1.35377,1.3545099999999999,1.35192,7.4,STOP,1384958053459000000,1.35455,-7.8,-1.05405,False
INVALID_LEVELS,,2013-12-02 08:45:00,2013-12-02 09:30:00,1,1385970300491000000,,,,,,,,,,,,,
TRADE,-1,2013-12-12 16:00:00,2013-12-12 16:00:00,1,1386856808148000000,True,1386856813249000000,1.37522,1.37522,1.3780999999999999,1.3680200000000007,28.8,STOP,1387190112608000000,1.37813,-29.1,-1.01042,False
