entry_i,year,stop_pips,pip_eur_at_minlot,risk_eur_minlot,risk_pct_minlot,lot_for_05,lot_05_rounded,lot_for_1,lot_1_rounded,r_multiple
6180,2020,6.413622819200319,0.11772553941207704,0.7550472059759639,0.15100944119519277,0.0331105125641586,0.03,0.0662210251283172,0.06,-1.9489764759129575
6289,2021,3.12641288734094,0.11878590281012263,0.3713737773799958,0.07427475547599915,0.0673176231676142,0.06,0.1346352463352284,0.13,-1.2878698471476693
6350,2021,11.65046887402651,0.11931842406154919,1.3901155856269747,0.27802311712539496,0.01798411603933238,0.01,0.03596823207866476,0.03,-1.0772501098223035
6369,2021,11.68711956796707,0.11866907412592814,1.3868996583296695,0.2773799316659339,0.018025817404922484,0.01,0.03605163480984497,0.03,2.314215167353266
6409,2021,13.12032272756411,0.11701128902200209,1.5352258747369467,0.30704517494738937,0.01628424872938233,0.01,0.03256849745876466,0.03,0.017300202573226175
6483,2021,11.88469047412961,0.11676982220086499,1.3877731935764284,0.27755463871528563,0.018014471035841625,0.01,0.03602894207168325,0.03,-1.075727676876267
6529,2021,9.25543041675359,0.11640186645585485,1.0773493753624084,0.21546987507248166,0.023205100009075774,0.02,0.04641020001815155,0.04,-1.1776869912250592
6555,2021,7.80792933577259,0.11628799169254733,0.9079684217343196,0.1815936843468639,0.027533997220131567,0.02,0.055067994440263134,0.05,-1.1152674366399762
6632,2021,7.05615799804154,0.11731348180169053,0.8277824628930993,0.16555649257861987,0.030201171347149603,0.03,0.060402342694299206,0.06,-0.048375822533528616
6708,2021,6.59403056375647,0.11670261733721088,0.7695406255919442,0.15390812511838886,0.03248691384001924,0.03,0.06497382768003848,0.06,4.960705114059164
6745,2021,9.44740082384302,0.11589253754199247,1.0948832546514777,0.21897665093029553,0.022833484660387815,0.02,0.04566696932077563,0.04,1.4897396602294124
6779,2021,9.1006080711169,0.1151635632085276,1.0480584528341075,0.2096116905668215,0.02385363138133779,0.02,0.04770726276267558,0.04,0.11121582861655822
6844,2021,6.06610708568912,0.11432118024179357,0.693484521509087,0.1386969043018174,0.036049831286209054,0.03,0.07209966257241811,0.07,4.739280199185121
6876,2021,8.43854328345953,0.11335894475880472,0.9565843619144715,0.1913168723828943,0.02613465261962463,0.02,0.05226930523924926,0.05,-1.1066534791335345
6985,2021,6.61810970445012,0.11572861109255884,0.7659046441541975,0.1531809288308395,0.032641139064521485,0.03,0.06528227812904297,0.06,2.3129793891853243
7016,2021,7.99154316765421,0.11531102751177992,0.9215130540669514,0.18430261081339028,0.027129295553293003,0.02,0.054258591106586006,0.05,1.7901652395382197
