entry_i,entry,stop,atr_entry,d,sig_i,exit_i,exit,reason,gross_pips,net_pips,year
10095,109.602,109.47675299966309,0.1252470003369152,2021-08-17,10094,10124,109.7542517247931,stop,15.225172479308924,14.325172479308923,2021
10130,110.116,110.01181066895094,0.10418933104906185,2021-08-19,10129,10134,110.01181066895094,stop,-10.418933104905648,-11.318933104905648,2021
10177,109.875,109.79013293751106,0.08486706248893491,2021-08-23,10176,10189,109.82854765001535,stop,-4.645234998464787,-5.545234998464787,2021
10236,109.895,109.80649414003634,0.08850585996366134,2021-08-25,10235,10276,109.95669790860423,stop,6.169790860423063,5.269790860423063,2021
10286,110.175,110.07734405697772,0.09765594302228207,2021-08-27,10285,10287,109.982,stop,-19.299999999999784,-20.199999999999783,2021
10336,110.06,109.94483769289882,0.11516230710118973,2021-08-31,10335,10337,109.94483769289882,stop,-11.516230710118691,-12.416230710118692,2021
10345,110.191,110.10017448925976,0.09082551074024095,2021-09-01,10344,10356,110.10017448925976,stop,-9.082551074024536,-9.982551074024537,2021
10447,109.928,109.86498178005905,0.06301821994094069,2021-09-07,10446,10471,110.21906123395033,stop,29.106123395033023,28.206123395033025,2021
10542,110.043,109.97997675129315,0.0630232487068582,2021-09-13,10541,10549,109.97997675129315,stop,-6.302324870685538,-7.202324870685539,2021
10572,110.122,110.06079118936964,0.061208810630360024,2021-09-14,10571,10573,109.876,stop,-24.59999999999951,-25.49999999999951,2021
10622,109.677,109.56978404411407,0.10721595588593671,2021-09-16,10621,10658,109.86154331968503,stop,18.454331968501947,17.55433196850195,2021
10723,109.865,109.75240229891051,0.11259770108948551,2021-09-22,10722,10725,109.75240229891051,stop,-11.25977010894843,-12.15977010894843,2021
10730,109.893,109.79723274730556,0.09576725269444282,2021-09-23,10729,10731,109.79723274730556,stop,-9.576725269444353,-10.476725269444353,2021
10753,110.378,110.29263030128504,0.08536969871495233,2021-09-24,10752,10779,110.55763586435866,stop,17.963586435865864,17.063586435865865,2021
10802,111.1,111.00819393463435,0.0918060653656497,2021-09-28,10801,10832,111.25802721115828,stop,15.802721115828433,14.902721115828433,2021
10856,111.879,111.76415543456733,0.11484456543267517,2021-09-30,10855,10861,111.76415543456733,stop,-11.48445654326764,-12.38445654326764,2021
10932,111.227,111.12118620802936,0.10581379197064196,2021-10-05,10931,10953,111.44804164836128,stop,22.104164836127893,21.204164836127894,2021
10993,111.726,111.63712390729296,0.08887609270704333,2021-10-08,10992,11003,111.71970127888657,stop,-0.6298721113424222,-1.5298721113424223,2021
11017,112.307,112.20979037888496,0.09720962111504321,2021-10-11,11016,11046,113.08926110886253,stop,78.2261108862528,77.32611088625279,2021
11077,113.67,113.5490343218834,0.12096567811660355,2021-10-13,11076,11078,113.423,stop,-24.69999999999999,-25.599999999999987,2021
11112,113.84,113.72049129735927,0.11950870264072984,2021-10-15,11111,11126,113.99405338293542,stop,15.405338293541604,14.505338293541604,2021
11184,114.553,114.4520221749208,0.10097782507919464,2021-10-20,11183,11185,114.4520221749208,stop,-10.097782507919817,-10.997782507919817,2021
11283,113.931,113.82187362193554,0.10912637806446077,2021-10-26,11282,11307,114.00400247627499,stop,7.3002476274993455,6.400247627499345,2021
11364,113.876,113.75519695167463,0.12080304832537261,2021-10-29,11363,11366,113.75519695167463,stop,-12.080304832537081,-12.980304832537081,2021
11377,114.077,113.96069840629454,0.11630159370545248,2021-11-01,11376,11393,114.08026906590527,stop,0.3269065905271873,-0.5730934094728128,2021
11439,114.081,113.97559472203524,0.10540527796476919,2021-11-03,11438,11441,113.97559472203524,stop,-10.54052779647634,-11.44052779647634,2021
11450,114.218,114.09910026784766,0.11889973215233614,2021-11-04,11449,11456,114.09910026784766,stop,-11.889973215234306,-12.789973215234307,2021
11557,113.276,113.1609030408799,0.11509695912009552,2021-11-10,11556,11600,113.99380943794321,stop,71.78094379432167,70.88094379432167,2021
11642,114.3,114.20073546398943,0.0992645360105625,2021-11-16,11641,11643,114.15,stop,-14.999999999999147,-15.899999999999148,2021
11722,114.013,113.87726895163361,0.13573104836639246,2021-11-19,11721,11723,113.87726895163361,stop,-13.573104836639516,-14.473104836639516,2021
11751,114.617,114.4624716532923,0.15452834670770457,2021-11-22,11750,11767,114.65030103115855,stop,3.330103115854399,2.430103115854399,2021
11785,115.207,115.06343768842463,0.14356231157535992,2021-11-24,11784,11786,115.06343768842463,stop,-14.35623115753657,-15.25623115753657,2021
11959,113.354,113.2033584668755,0.15064153312450376,2021-12-03,11958,11965,113.2033584668755,stop,-15.064153312449946,-15.964153312449946,2021
12002,113.56400000000001,113.44406834910045,0.11993165089955828,2021-12-07,12001,12024,113.44406834910045,stop,-11.993165089955937,-12.893165089955938,2021
12036,113.706,113.54671191805015,0.1592880819498463,2021-12-08,12035,12052,113.5851791245066,stop,-12.08208754934077,-12.98208754934077,2021
12128,113.72,113.62450598358551,0.09549401641449395,2021-12-14,12127,12129,113.62450598358551,stop,-9.549401641449151,-10.449401641449152,2021
12145,113.763,113.67989655032488,0.08310344967512827,2021-12-15,12144,12150,113.67989655032488,stop,-8.310344967512151,-9.210344967512151,2021
12246,113.737,113.63631503284117,0.10068496715883277,2021-12-21,12245,12247,113.63631503284117,stop,-10.068496715882702,-10.968496715882702,2021
12273,114.306,114.21121308972164,0.0947869102783613,2021-12-22,12272,12275,114.21121308972164,stop,-9.47869102783585,-10.37869102783585,2021
12301,114.368,114.29115657346776,0.07684342653223812,2021-12-23,12300,12302,114.29115657346776,stop,-7.684342653223553,-8.584342653223553,2021
12313,114.37,114.29168451815832,0.07831548184168706,2021-12-24,12312,12333,114.29168451815832,stop,-7.831548184168469,-8.731548184168469,2021
12345,114.636,114.57046489102143,0.06553510897856281,2021-12-27,12344,12373,114.71504106699562,stop,7.904106699562874,7.004106699562874,2021
12393,114.995,114.92691859037627,0.06808140962372528,2021-12-29,12392,12395,114.92691859037627,stop,-6.808140962372988,-7.708140962372989,2021
12410,115.039,114.95644031948864,0.08255968051136509,2021-12-30,12409,12441,115.01028273205257,stop,-2.8717267947428127,-3.771726794742813,2021
12457,115.287,115.21212653522853,0.07487346477147543,2022-01-03,12456,12458,115.208,stop,-7.900000000000773,-8.800000000000773,2022
12481,115.397,115.30851410720446,0.08848589279555118,2022-01-04,12480,12505,115.97087025048668,stop,57.387025048667795,56.487025048667796,2022
12697,114.338,114.19776574025256,0.1402342597474271,2022-01-17,12696,12729,114.60624856831517,stop,26.824856831517252,25.924856831517253,2022
12840,114.021,113.88886151018589,0.1321384898141094,2022-01-25,12839,12841,113.88886151018589,stop,-13.213848981411047,-14.113848981411047,2022
12850,114.062,113.92608144522974,0.13591855477024956,2022-01-25,12849,12853,113.92608144522974,stop,-13.59185547702566,-14.491855477025661,2022
12874,114.134,114.03216948489106,0.10183051510894621,2022-01-26,12873,12922,115.575,time,144.10000000000025,143.20000000000024,2022
13020,114.843,114.74372562353074,0.09927437646926454,2022-02-03,13019,13022,114.74372562353074,stop,-9.927437646926762,-10.827437646926763,2022
13033,114.968,114.86846477726381,0.09953522273618767,2022-02-04,13032,13034,114.847,stop,-12.100000000000932,-13.000000000000933,2022
13083,115.392,115.28560986182093,0.1063901381790631,2022-02-08,13082,13090,115.28560986182093,stop,-10.639013817906573,-11.539013817906573,2022
13129,115.582,115.49711156131701,0.08488843868297578,2022-02-10,13128,13130,115.49711156131701,stop,-8.48884386829809,-9.38884386829809,2022
13215,115.823,115.67640037688685,0.14659962311314226,2022-02-15,13214,13216,115.67640037688685,stop,-14.6599623113147,-15.5599623113147,2022
13334,115.128,115.0005777723425,0.1274222276575022,2022-02-22,13333,13336,115.0005777723425,stop,-12.742222765750455,-13.642222765750455,2022
13384,115.612,115.41548319518878,0.19651680481121675,2022-02-24,13383,13385,115.41548319518878,stop,-19.651680481121048,-20.551680481121046,2022
13410,115.759,115.60776067952507,0.15123932047492245,2022-02-25,13409,13411,115.60776067952507,stop,-15.123932047492872,-16.02393204749287,2022
