entry_i,entry,stop,atr_entry,d,sig_i,exit_i,exit,reason,gross_pips,net_pips,year
6056,103.607,103.50015682012969,0.10684317987030977,2020-12-21,6055,6061,103.50015682012969,stop,-10.684317987031022,-11.584317987031023,2020
6130,103.661,103.58736760078118,0.07363239921882762,2020-12-24,6129,6141,103.58736760078118,stop,-7.363239921882325,-8.263239921882326,2020
6180,103.701,103.636863771808,0.06413622819200325,2020-12-28,6179,6181,103.585,stop,-11.599999999999966,-12.499999999999966,2020
6289,103.071,103.0397358711266,0.03126412887340944,2021-01-04,6288,6290,103.0397358711266,stop,-3.1264128873402797,-4.02641288734028,2021
6350,103.183,103.06649531125974,0.11650468874026514,2021-01-06,6349,6356,103.06649531125974,stop,-11.650468874026387,-12.550468874026388,2021
6369,103.4,103.28312880432034,0.11687119567967079,2021-01-07,6368,6397,103.67946509366861,stop,27.94650936686054,27.04650936686054,2021
6409,104.06700000000001,103.93579677272437,0.13120322727564113,2021-01-11,6408,6449,104.07826984241014,stop,1.1269842410129627,0.22698424101296255,2021
6483,104.044,103.92515309525871,0.11884690474129614,2021-01-14,6482,6495,103.92515309525871,stop,-11.884690474128945,-12.784690474128945,2021
6529,103.823,103.73044569583246,0.09255430416753599,2021-01-18,6528,6530,103.723,stop,-9.999999999999432,-10.899999999999432,2021
6555,104.061,103.98292070664228,0.07807929335772591,2021-01-19,6554,6556,103.98292070664228,stop,-7.807929335773167,-8.707929335773168,2021
6632,103.682,103.61143842001958,0.07056157998041548,2021-01-22,6631,6653,103.68758652552918,stop,0.558652552918204,-0.3413474470817961,2021
6708,103.844,103.77805969436243,0.06594030563756473,2021-01-27,6707,6739,104.18011041139889,stop,33.61104113988915,32.711041139889154,2021
6745,104.468,104.37352599176157,0.09447400823843023,2021-01-29,6744,6756,104.61774167693363,stop,14.974167693362972,14.074167693362972,2021
6779,104.913,104.82199391928883,0.09100608071116902,2021-02-01,6778,6817,104.93212131667543,stop,1.9121316675438038,1.0121316675438037,2021
6844,105.125,105.0643389291431,0.06066107085689122,2021-02-04,6843,6872,105.42148981197343,stop,29.648981197343005,28.748981197343006,2021
6876,105.622,105.5376145671654,0.08438543283459536,2021-02-05,6875,6877,105.5376145671654,stop,-8.43854328345941,-9.33854328345941,2021
6985,104.758,104.69181890295549,0.06618109704450123,2021-02-12,6984,7002,104.9200755134176,stop,16.207551341760507,15.307551341760506,2021
7016,105.19,105.11008456832346,0.07991543167654212,2021-02-15,7015,7041,105.34206182789003,stop,15.20618278900372,14.306182789003719,2021
7136,105.825,105.7154402334014,0.10955976659861184,2021-02-22,7135,7137,105.7154402334014,stop,-10.955976659860767,-11.855976659860767,2021
7178,105.426,105.31542072930668,0.11057927069332252,2021-02-24,7177,7226,105.93587899340805,stop,50.98789934080514,50.087899340805144,2021
7251,106.654,106.52045027164353,0.13354972835646892,2021-03-01,7250,7252,106.52045027164353,stop,-13.354972835647061,-14.254972835647061,2021
7273,106.888,106.78055020182772,0.10744979817227575,2021-03-02,7272,7274,106.78055020182772,stop,-10.744979817228284,-11.644979817228284,2021
7307,106.96,106.87929002379771,0.0807099762022857,2021-03-03,7306,7309,106.87929002379771,stop,-8.070997620228582,-8.970997620228582,2021
7328,107.168,107.08503977795571,0.08296022204428537,2021-03-04,7327,7359,108.09761035212094,stop,92.96103521209318,92.06103521209317,2021
7381,108.69200000000001,108.58043298317843,0.1115670168215832,2021-03-08,7380,7399,108.83529925410915,stop,14.329925410913802,13.429925410913802,2021
7471,108.869,108.75709200959803,0.11190799040197308,2021-03-12,7470,7497,109.01174832494513,stop,14.274832494513134,13.374832494513134,2021
