group,kind,sig_i,entry_i,exit_i,reason,entry_fill,exit_px,net_pips,stop_pips,r_mult,lot,pnl_eur
114,BASE,7250,7251,7252,stop,106.654,106.52045,-13.354972835647061,13.354972835647061,-1.0,0.01,-1.514258715687815
115,BASE,7272,7273,7274,stop,106.888,106.78055,-10.744979817228284,10.744979817228284,-1.0,0.02,-2.42059093463274
116,BASE,7306,7307,7309,stop,106.96,106.87929,-8.070997620228582,8.070997620228582,-1.0,0.02,-1.822327605931853
117,BASE,7327,7328,7358,stop,107.168,108.151779,98.37788699154117,8.296022204429221,11.858440655934784,0.02,22.097474711303953
117,ADD1,7328,7329,7358,stop,107.294,108.151779,85.77788699154212,9.324877761254413,9.198821602568975,0.02,19.24004925756366
117,ADD2,7332,7333,7358,stop,107.396,108.151779,75.57788699154173,8.715070120241819,8.672091669808005,0.01,8.461384608905204
118,BASE,7380,7381,7381,stop,108.692,108.580433,-11.156701682158143,11.156701682158143,-1.0,0.02,-2.43433316239363
119,BASE,7392,7393,7399,stop,109.082,108.968554,-11.34456150242329,11.34456150242329,-1.0,0.02,-2.4613197870454107
119,ADD1,7393,7394,7395,stop,109.204,109.088443,-11.555664252249187,11.555664252249187,-1.0,0.01,-1.253323958523708
120,BASE,7470,7471,7497,stop,108.869,109.008421,13.942127301784524,11.190799040197419,1.245856283515084,0.02,3.055100387452063
120,ADD1,7471,7472,7475,stop,109.048,108.928657,-11.934313394469598,11.934313394469598,-1.0,0.01,-1.306197969892957
120,ADD2,7473,7474,7474,stop,109.12,109.002699,-11.730096753393582,11.730096753393582,-1.0,0.01,-1.281572671834419
121,BASE,7552,7553,7554,stop,109.251,109.159199,-9.180094123344418,9.180094123344418,-1.0,0.02,-2.000219182739029
122,BASE,7669,7670,7672,stop,108.888,108.776715,-11.128456919105645,11.128456919105645,-1.0,0.02,-2.4170616858990774
123,BASE,7681,7682,7730,stop,108.928,109.576327,64.83271187606192,9.23958343616107,7.0168435973342,0.02,14.066027448667649
123,ADD1,7687,7688,7730,stop,109.084,109.576327,49.23271187606133,8.773520424885817,5.611511627238512,0.02,10.65438004804253
123,ADD2,7688,7689,7690,stop,109.135,109.044746,-9.025411823108698,9.025411823108698,-1.0,0.01,-0.9769363578949251
124,BASE,7751,7752,7784,stop,109.846,110.569423,72.34232609319804,8.262238311601777,8.755778200153758,0.02,15.49978197144301
124,ADD1,7754,7755,7784,stop,109.971,110.569423,59.84232609319804,8.5885705432176,6.967670090391883,0.02,12.80602594452318
124,ADD2,7758,7759,7784,stop,110.167,110.569423,40.242326093198244,9.032597440774737,4.455232988856261,0.02,8.57309369075561
125,BASE,7956,7957,7957,stop,109.885,109.760216,-12.478364795788366,12.478364795788366,-1.0,0.01,-1.3499280574452537
126,BASE,8071,8072,8073,stop,108.901,108.802561,-9.843856560581798,9.843856560581798,-1.0,0.02,-2.1675620140921703
127,BASE,8220,8221,8222,stop,108.082,107.966837,-11.51628570924288,11.51628570924288,-1.0,0.01,-1.2875871649753596
128,BASE,8232,8233,8270,stop,108.14,108.756546,61.654588324545045,9.7650895192686,6.313776049148083,0.02,13.749845226630509
128,ADD1,8233,8234,8236,stop,108.324,108.217753,-10.624725982177097,10.624725982177097,-1.0,0.02,-2.367927761746587
128,ADD2,8240,8241,8242,stop,108.362,108.258459,-10.354134640216728,10.354134640216728,-1.0,0.02,-2.3060947129536085
129,BASE,8293,8294,8294,stop,109.201,109.059438,-14.156183717828696,14.156183717828696,-1.0,0.01,-1.5732817522135454
130,BASE,8318,8319,8340,stop,109.294,109.386118,9.211839583220183,13.592681952157193,0.6777058137344442,0.01,1.014042118830076
130,ADD1,8329,8330,8340,stop,109.439,109.386118,-5.2881604167808405,9.443010570022636,-0.560007889175556,0.02,-1.1615745359704037
130,ADD2,8332,8333,8337,stop,109.591,109.502127,-8.887315678694563,8.887315678694563,-1.0,0.02,-1.9487126056657953
131,BASE,8508,8509,8541,stop,109.008,109.424891,41.68913095352593,12.552407081032868,3.3212060989098804,0.01,4.6354036089701
131,ADD1,8509,8510,8541,stop,109.244,109.424891,18.089130953525512,14.470092289531067,1.2501047395953913,0.01,2.0004357304344964
131,ADD2,8510,8511,8541,stop,109.38,109.424891,4.489130953525944,14.72222855456522,0.3049219713501804,0.01,0.49514221722760043
132,BASE,8627,8628,8628,stop,109.191,109.093234,-9.776595970386381,9.776595970386381,-1.0,0.02,-2.1893477211445944
133,BASE,8724,8725,8726,stop,108.986,108.882631,-10.33686126116038,10.33686126116038,-1.0,0.02,-2.3257985290103833
134,BASE,8751,8752,8799,stop,109.11,109.847379,73.73792401364199,9.274327517790937,7.950756954850966,0.02,16.498682218139127
134,ADD1,8769,8770,8770,stop,109.209,109.130782,-7.821803342794453,7.821803342794453,-1.0,0.02,-1.7477749948852956
134,ADD2,8772,8773,8799,stop,109.363,109.847379,48.437924013641975,9.159621699751597,5.288201369163049,0.02,10.785192497149152
135,BASE,8861,8862,8869,stop,109.723,109.641976,-8.102388732282861,8.102388732282861,-1.0,0.02,-1.8033596442814384
135,ADD1,8864,8865,8865,stop,109.863,109.77746,-8.553989812253349,8.553989812253349,-1.0,0.02,-1.8988242834768263
