mode,entry_time,exit_time,dir,level,lot,entry,sl0,tp,sl_dist,exit,reason,pnl,r_mult,balance_after,be_moved
historical,2017-04-27 15:00:00,2017-04-27 15:30:00,-1,1,1.02,1.08862,1.09034,1.0843199999999995,0.0017200000000001658,1.09034,sl,-175.44000000001694,-1.0,8598.239999999823,False
historical,2017-05-08 08:45:00,2017-05-08 10:00:00,1,0,0.41,1.09894,1.09686,1.1041400000000001,0.002080000000000082,1.09686,sl,-85.28000000000335,-1.0,8512.95999999982,False
historical,2017-05-08 09:45:00,2017-05-08 10:00:00,1,0,0.55,1.09875,1.09721,1.1025999999999996,0.0015399999999998748,1.09721,sl,-84.69999999999312,-1.0,8428.259999999827,False
historical,2017-05-25 10:30:00,2017-05-25 12:30:00,1,0,0.27,1.12382,1.1223,1.1276199999999998,0.0015199999999999658,1.1223,sl,-41.039999999999075,-1.0,8387.219999999828,False
historical,2017-05-31 10:00:00,2017-05-31 16:45:00,1,0,0.42,1.11878,1.11681,1.1237050000000002,0.0019700000000000273,1.1237050000000002,tp,206.85000000000286,2.5,8594.06999999983,True
historical,2017-06-05 10:15:00,2017-06-05 13:15:00,1,1,1.93,1.12757,1.12579,1.1320199999999998,0.0017799999999998928,1.12579,sl,-343.53999999997933,-1.0,8250.529999999851,False
historical,2017-06-08 11:30:00,2017-06-08 15:30:00,-1,0,0.27,1.12515,1.12666,1.1213750000000005,0.0015099999999999003,1.1213750000000005,tp,101.92499999999028,2.4999999999999263,8352.454999999842,False
historical,2017-06-12 14:15:00,2017-06-12 16:45:00,1,1,1.83,1.12239,1.12057,1.1269399999999998,0.0018199999999999328,1.12057,sl,-333.0599999999877,-1.0,8019.394999999854,False
historical,2017-06-21 16:30:00,2017-06-21 21:15:00,-1,0,0.38,1.11336,1.11546,1.10811,0.0020999999999999908,1.11546,sl,-79.79999999999966,-1.0,7939.594999999855,False
historical,2017-07-04 08:30:00,2017-07-05 13:00:00,-1,0,0.46,1.13577,1.13749,1.1314700000000002,0.0017199999999999438,1.1314700000000002,tp,197.79999999998844,2.4999999999999356,8137.394999999843,True
historical,2017-07-05 11:30:00,2017-07-05 21:00:00,-1,1,1.89,1.13503,1.13675,1.1307300000000002,0.0017199999999999438,1.13493,sl,18.899999999997917,0.058139534883716426,8156.294999999841,True
historical,2017-07-20 10:30:00,2017-07-20 15:30:00,-1,2,0.51,1.15072,1.1527,1.1457699999999997,0.001980000000000093,1.1527,sl,-100.98000000000474,-1.0,8055.314999999836,False
historical,2017-07-26 11:00:00,2017-07-26 13:15:00,-1,0,0.45,1.16294,1.16473,1.158465,0.0017899999999999583,1.16473,sl,-80.54999999999812,-1.0,7974.7649999998375,False
historical,2017-07-26 16:45:00,2017-07-26 21:00:00,-1,0,0.33,1.16337,1.1657199999999999,1.1574950000000004,0.002349999999999852,1.1657199999999999,sl,-77.54999999999512,-1.0,7897.214999999843,False
historical,2017-07-31 09:00:00,2017-07-31 09:15:00,1,0,0.49,1.17454,1.17293,1.1785649999999996,0.0016099999999998893,1.17293,sl,-78.88999999999457,-1.0,7818.324999999848,False
historical,2017-08-03 10:00:00,2017-08-03 11:00:00,1,0,0.25,1.18509,1.18354,1.1889649999999998,0.0015499999999999403,1.18354,sl,-38.74999999999851,-1.0,7779.57499999985,False
historical,2017-08-07 15:45:00,2017-08-08 04:00:00,-1,0,0.44,1.17887,1.18062,1.1744950000000003,0.0017499999999999183,1.18062,sl,-76.9999999999964,-1.0,7702.574999999853,False
historical,2017-08-16 09:30:00,2017-08-16 10:15:00,-1,0,0.35,1.17245,1.17461,1.1670500000000001,0.0021599999999999397,1.17461,sl,-75.59999999999789,-1.0,7626.974999999856,False
historical,2017-08-22 15:45:00,2017-08-23 10:30:00,-1,0,0.38,1.1755,1.17746,1.1706,0.0019599999999999618,1.17746,sl,-74.47999999999854,-1.0,7552.494999999857,False
historical,2017-09-06 09:00:00,2017-09-07 11:45:00,1,0,0.42,1.19251,1.19072,1.1969849999999997,0.0017899999999999583,1.1969849999999997,tp,187.94999999999095,2.499999999999938,7740.444999999848,True
historical,2017-09-06 15:00:00,2017-09-06 17:15:00,1,1,2.01,1.19322,1.19168,1.1970699999999996,0.0015399999999998748,1.19168,sl,-309.5399999999748,-1.0,7430.904999999873,False
historical,2017-09-07 10:15:00,2017-09-07 15:30:00,1,0,0.16,1.19393,1.19169,1.19953,0.0022400000000000198,1.19403,sl,1.5999999999998238,0.044642857142851836,7432.504999999873,True
historical,2017-09-11 10:45:00,2017-09-11 14:30:00,1,1,1.4,1.20119,1.19908,1.2064650000000001,0.0021100000000000563,1.19908,sl,-295.4000000000079,-1.0,7137.104999999865,False
