mode,entry_time,exit_time,dir,level,lot,entry,sl0,tp,sl_dist,exit,reason,pnl,r_mult,balance_after,be_moved
historical,2014-10-08 09:15:00,2014-10-08 13:45:00,1,0,0.3,1.26448,1.26215,1.270305,0.0023299999999999432,1.26458,sl,2.9999999999996696,0.04291845493561863,7212.7350000000415,True
historical,2014-10-13 10:30:00,2014-10-13 22:30:00,1,0,0.32,1.2679,1.26566,1.2735,0.0022400000000000198,1.2735,tp,179.20000000000158,2.5,7391.935000000043,True
historical,2014-10-13 15:30:00,2014-10-13 17:15:00,1,0,0.42,1.26916,1.26742,1.2735100000000004,0.0017400000000000748,1.26742,sl,-73.08000000000314,-1.0,7318.85500000004,False
historical,2014-10-20 15:00:00,2014-10-20 17:30:00,-1,0,0.38,1.2767,1.27859,1.271975,0.0018899999999999473,1.27859,sl,-71.81999999999799,-1.0,7247.035000000042,False
historical,2014-10-20 15:30:00,2014-10-20 16:00:00,-1,0,0.34,1.27584,1.27792,1.2706400000000004,0.0020799999999998597,1.27792,sl,-70.71999999999524,-1.0,7176.315000000047,False
historical,2014-11-04 08:30:00,2014-11-04 11:15:00,-1,0,0.42,1.25028,1.25197,1.2460550000000001,0.0016899999999999693,1.25197,sl,-70.97999999999871,-1.0,7105.335000000048,False
historical,2014-11-04 15:15:00,2014-11-04 16:15:00,-1,0,0.42,1.25106,1.25273,1.2468850000000005,0.0016699999999998383,1.25273,sl,-70.13999999999321,-1.0,7035.195000000055,False
historical,2014-11-06 11:45:00,2014-11-06 14:30:00,1,0,0.19,1.25198,1.25021,1.2564050000000002,0.0017700000000000493,1.25021,sl,-33.63000000000093,-1.0,7001.565000000054,False
historical,2014-11-19 09:00:00,2014-11-19 16:00:00,1,0,0.32,1.25342,1.25125,1.258845,0.0021700000000000053,1.25352,sl,3.1999999999996476,0.04608294930875057,7004.765000000054,True
historical,2014-11-19 11:30:00,2014-11-19 16:00:00,1,0,0.39,1.25396,1.25218,1.2584099999999996,0.0017799999999998928,1.25406,sl,3.8999999999995705,0.05617977528089607,7008.665000000054,True
historical,2014-11-25 09:30:00,2014-11-25 10:30:00,-1,0,0.36,1.24171,1.24364,1.236885,0.0019299999999999873,1.24364,sl,-69.47999999999954,-1.0,6939.185000000054,False
historical,2014-11-25 11:30:00,2014-11-25 16:30:00,-1,0,0.44,1.24276,1.2443199999999999,1.2388600000000007,0.0015599999999997838,1.2443199999999999,sl,-68.6399999999905,-1.0,6870.545000000064,False
historical,2014-11-26 10:15:00,2014-11-26 11:00:00,1,0,0.44,1.24783,1.2463,1.251655,0.0015300000000000313,1.2463,sl,-67.32000000000137,-1.0,6803.225000000062,False
historical,2014-11-26 14:15:00,2014-11-26 17:45:00,1,0,0.29,1.24643,1.24409,1.2522799999999998,0.0023400000000000087,1.2522799999999998,tp,169.64999999999742,2.4999999999999525,6972.87500000006,True
historical,2014-12-10 14:45:00,2014-12-10 17:30:00,1,0,0.34,1.23837,1.23635,1.2434199999999997,0.0020199999999999108,1.2434199999999997,tp,171.69999999999243,2.4999999999999996,7144.575000000053,True
historical,2014-12-15 08:45:00,2014-12-15 10:00:00,1,0,0.42,1.24549,1.2438,1.249715,0.0016899999999999693,1.2438,sl,-70.97999999999871,-1.0,7073.595000000054,False
historical,2014-12-17 09:15:00,2014-12-17 09:45:00,1,0,0.37,1.24921,1.24733,1.2539099999999996,0.0018799999999998818,1.24733,sl,-69.55999999999563,-1.0,7004.035000000058,False
