entry_i,exit_i,exit_px,reason,sig_i,entry_fill,gross_pips,net_pips,r_mult,stop_pips
7553,7554,109.15919905876656,stop,7552,109.251,-8.280094123344384,-9.180094123344384,-1.0000000000000377,9.180094123344038
7670,7672,108.77671543080895,stop,7669,108.888,-10.22845691910561,-11.128456919105611,-0.9999999999999767,11.12845691910587
7682,7730,109.57632711876062,stop,7681,108.928,65.73271187606196,64.83271187606195,7.016843597334282,9.239583436160965
7752,7784,110.56942326093198,stop,7751,109.846,73.24232609319807,72.34232609319807,8.755778200154296,8.262238311601273
7957,7957,109.76021635204212,stop,7956,109.885,-11.578364795788332,-12.478364795788332,-1.0000000000000335,12.478364795787915
8072,8073,108.80256143439418,stop,8071,108.901,-8.943856560581764,-9.843856560581765,-0.9999999999999988,9.843856560581777
8221,8222,107.96683714290756,stop,8220,108.082,-10.616285709242845,-11.516285709242846,-1.0000000000000557,11.516285709242203
8233,8270,108.75654588324545,stop,8232,108.14,62.55458832454508,61.65458832454508,6.313776049148388,9.765089519268132
8294,8294,109.0594381628217,stop,8293,109.201,-13.256183717828662,-14.156183717828663,-0.9999999999999857,14.156183717828865
8319,8340,109.3861183958322,stop,8318,109.294,10.111839583220217,9.211839583220216,0.6777058137344738,13.592681952156646
8509,8541,109.42489130953525,stop,8508,109.008,42.58913095352597,41.68913095352597,3.321206098909735,12.552407081033428
8628,8628,109.09323404029614,stop,8627,109.191,-8.876595970386347,-9.776595970386348,-0.9999999999999496,9.77659597038684
8725,8726,108.8826313873884,stop,8724,108.986,-9.436861261160345,-10.336861261160346,-1.0000000000000437,10.336861261159894
8752,8799,109.84737924013642,stop,8751,109.11,74.63792401364202,73.73792401364202,7.950756954851458,9.274327517790368
8862,8869,109.64197611267717,stop,8861,109.723,-7.202388732282827,-8.102388732282828,-1.0000000000000446,8.102388732282465
8893,8915,110.09361410526726,stop,8892,109.971,13.161410526726058,12.261410526726058,1.3866951076678489,8.842182004483568
