entry_i,exit_i,exit_px,reason,sig_i,entry_fill,gross_pips,net_pips,r_mult,stop_pips
19891,19892,132.04624414090975,stop,19890,131.649,-38.324414090973846,-39.724414090973845,-1.0127471630001317,39.22441409097157
19903,19908,131.47342127048887,stop,19902,131.089,-37.04212704888619,-38.442127048886185,-1.0131779644129715,37.942127048883556
19963,19979,131.36273688868906,stop,19962,131.39999999999998,5.126311131093075,3.726311131093075,0.10902643999728812,34.17805012422456
19994,20006,130.72334636310967,stop,19993,130.572,-13.734636310965698,-15.134636310965698,-0.44777130148282124,33.799924784921345
20053,20053,130.91434608195007,stop,20052,130.63899999999998,-26.134608195008013,-27.534608195008012,-1.0184948121457527,27.034608195007326
20151,20161,132.61025579728275,stop,20150,132.31799999999998,-27.82557972827533,-29.225579728275328,-1.0174060890931227,28.725579728273402
20175,20204,131.40734495559343,stop,20174,131.813,41.96550444065679,40.56550444065679,1.249028352637473,32.47764901012685
20317,20317,133.2882941243073,stop,20316,133.023,-25.129412430729303,-26.5294124307293,-1.0192090390566153,26.029412430726726
20341,20346,132.75491404124668,stop,20340,132.49699999999999,-24.39140412466827,-25.79140412466827,-1.0197695627153867,25.291404124665505
20474,20479,134.0907059706264,stop,20473,133.899,-17.770597062639126,-19.170597062639125,-1.026780075555318,18.67059706263876
20530,20530,134.04012189204977,stop,20529,133.827,-19.912189204976016,-21.312189204976015,-1.0240243827825122,20.812189204973656
20555,20555,133.61623670675147,stop,20554,133.399,-20.323670675145422,-21.72367067514542,-1.0235586015093898,21.2236706751432
20666,20714,134.102,time,20665,136.0,191.2000000000006,189.8000000000006,7.8686726520683274,24.120967842029945
20797,20797,134.61240233206783,stop,20796,134.38899999999998,-20.940233206783887,-22.340233206783886,-1.0228935284375558,21.84023320678158
20809,20812,134.25917960150957,stop,20808,134.04899999999998,-19.617960150958424,-21.017960150958423,-1.0243688941942914,20.517960150957062
20890,20892,135.90872159091268,stop,20889,135.75,-14.47215909126669,-15.87215909126669,-1.0325263352423852,15.372159091264928
21030,21030,138.46164507738573,stop,21029,138.27499999999998,-17.264507738573798,-18.664507738573796,-1.0275262069965592,18.16450773857128
21122,21123,140.20864211109756,stop,21121,140.051,-14.364211109756297,-15.764211109756298,-1.0327563603782037,15.264211109756145
21150,21151,139.6121071127453,stop,21149,139.39,-20.81071127452958,-22.21071127452958,-1.0230301068296832,21.710711274528773
21182,21200,139.0413948691854,stop,21181,138.855,-17.239486918541047,-18.639486918541046,-0.673056258991747,27.69380221864871
21248,21251,139.4811883243407,stop,21247,139.289,-17.81883243407094,-19.21883243407094,-1.0267110676780338,18.718832434070702
21278,21278,139.2377590887296,stop,21277,139.028,-19.575908872960213,-20.97590887296021,-1.0244189404780428,20.47590887295763
21302,21313,139.23321514315384,stop,21301,138.99499999999998,-22.421514315385593,-23.821514315385592,-1.0214394311295263,23.321514315384643
21373,21373,139.35280607135942,stop,21372,139.13899999999998,-19.980607135943274,-21.380607135943272,-1.0239456638758238,20.880607135942856
21434,21434,140.18174944938252,stop,21433,139.947,-22.07494493825095,-23.47494493825095,-1.0217628377932677,22.974944938250545
21490,21509,141.787,stop,21489,141.63,-14.300000000000068,-15.700000000000069,-0.7134179035498696,22.00673675538422
21711,21712,144.66711453033145,stop,21710,144.44299999999998,-21.011453033145244,-22.411453033145243,-1.022819116525338,21.911453033142493
21758,21758,144.30544586640985,stop,21757,144.13199999999998,-15.944586640986813,-17.34458664098681,-1.029683126731272,16.844586640986517
21773,21780,144.1355579816035,stop,21772,143.953,-16.855798160349877,-18.255798160349876,-1.0281598154859195,17.755798160349215
21798,21805,143.3912683166238,stop,21797,143.557,17.973168337618972,16.573168337618974,0.7999177347359209,20.718590947468268
21830,21853,140.94383545031954,stop,21829,141.7,77.01645496804588,75.61645496804587,2.514340837924477,30.07406705865116
21865,21893,138.80932852321786,stop,21864,139.72199999999998,92.66714767821327,91.26714767821326,3.7791579539945355,24.150127829863454
21913,21917,137.9210099104138,stop,21912,137.666,-24.100991041379416,-25.500991041379415,-1.019999207198415,25.000991041377194
21973,21973,138.36167202549098,stop,21972,138.09,-25.76720254909617,-27.167202549096167,-1.018749623215338,26.667202549093567
22111,22133,140.19903703529917,stop,22110,140.682,49.69629647008276,48.29629647008276,2.4784042098644687,19.486852176031384
22156,22164,140.0044658109723,stop,22155,139.708,-28.24658109722975,-29.64658109722975,-0.487501078332181,60.81336516968422
22233,22233,142.5920858215813,stop,22232,142.32399999999998,-25.40858215812989,-26.808582158129887,-1.0190052051074947,26.3085821581273
22264,22266,142.71411403596892,stop,22263,142.40099999999998,-29.911403596892683,-31.31140359689268,-1.016227757960753,30.811403596891257
22286,22298,142.03991171170142,stop,22285,141.75,-27.591171170141138,-28.991171170141136,-1.0175492961316006,28.491171170140227
22513,22524,145.73540574963047,stop,22512,145.53099999999998,-19.040574963048584,-20.440574963048583,-1.0250745026624062,19.940574963047734
22592,22596,145.5526155996715,stop,22591,145.384,-15.461559967150151,-16.86155996715015,-1.0305594332695285,16.36155996714868
22695,22710,146.2523756425352,stop,22694,146.315,7.662435746479446,6.262435746479445,0.2864913086106216,21.859077599421692
22718,22718,145.83151916913076,stop,22717,145.60299999999998,-21.45191691307673,-22.851916913076728,-1.0223694460724189,22.35191691307452
22743,22765,145.1081205626465,stop,22742,145.58499999999998,49.08794373534988,47.68794373534988,1.9104006476002944,24.962273644144748
22873,22873,147.10877447076854,stop,22872,146.902,-19.27744707685406,-20.677447076854058,-1.0247801418136067,20.177447076853095
22899,22906,146.73741451576086,stop,22898,146.619,-10.441451576085115,-11.841451576085115,-0.5476548170371279,21.62210795505946
22969,22975,147.23641177778754,stop,22968,147.07,-15.241177778753467,-16.641177778753466,-1.030976673874385,16.141177778752574
23041,23041,147.7394509868537,stop,23040,147.62599999999998,-9.9450986853725,-11.3450986853725,-1.046103775955245,10.845098685369694
23081,23081,147.66052115159454,stop,23080,147.52499999999998,-12.15211515945498,-13.55211515945498,-1.0383079672445608,13.052115159454367
23103,23108,147.59800123573606,stop,23102,147.397,-18.70012357360622,-20.10012357360622,-1.0255100432466016,19.600123573604826
23239,23240,149.03290480078815,stop,23238,148.85999999999999,-15.890480078815017,-17.290480078815015,-1.0297787792638813,16.79048007881343
23295,23335,148.85980346715607,stop,23294,149.03799999999998,19.21965328439228,17.81965328439228,0.5958545309946105,29.906046455075895
23394,23400,148.6610058040704,stop,23393,148.512,-13.500580407040275,-14.900580407040275,-1.0347208227633433,14.400580407038227
23497,23502,149.5801098279076,stop,23496,149.482,-8.410982790758226,-9.810982790758226,-1.05370002407247,9.31098279075626
23531,23532,149.694912872954,stop,23530,149.53699999999998,-14.391287295401867,-15.791287295401867,-1.0326983588982648,15.291287295400391
23601,23625,149.96718676841743,stop,23600,149.934,-1.9186768417426947,-3.3186768417426946,-0.3047995649820263,10.888062920753818
23635,23635,149.63738947199926,stop,23634,149.546,-7.738947199925406,-9.138947199925406,-1.0578774228422887,8.638947199923242
23643,23645,149.67423132517305,stop,23642,149.572,-8.823132517304089,-10.223132517304089,-1.0514237566042175,9.72313251730371
23725,23747,149.69458924172233,stop,23724,149.85999999999999,17.941075827766895,16.541075827766896,1.130483847009598,14.631855087113385
