date,side,entry,stop,target,exit,reason,risk_pips,gross_pips,net_normal_pips,net_stress_pips,year
2015-02-02,LONG,1.13238,1.13445,1.130885,1.13445,STOP,20.700000000000163,-20.700000000000163,-22.700000000000163,-24.700000000000163,2015
2015-02-03,SHORT,1.13253,1.13166,1.133655,1.133655,TARGET,8.699999999999264,11.250000000000426,9.250000000000426,7.250000000000426,2015
2015-02-04,SHORT,1.14557,1.14373,1.14699,1.14699,TARGET,18.400000000000638,14.199999999999768,12.199999999999768,10.199999999999768,2015
2015-02-09,LONG,1.1339,1.13595,1.132485,1.132485,TARGET,20.500000000001073,14.14999999999944,12.14999999999944,10.14999999999944,2015
2015-02-10,SHORT,1.13265,1.13161,1.13345,1.13161,STOP,10.399999999999299,-10.399999999999299,-12.399999999999299,-14.399999999999299,2015
2015-02-11,SHORT,1.13144,1.13088,1.1322649999999999,1.13088,STOP,5.599999999998939,-5.599999999998939,-7.599999999998939,-9.59999999999894,2015
2015-02-12,LONG,1.13226,1.13497,1.131335,1.13497,STOP,27.099999999999902,-27.099999999999902,-29.099999999999902,-31.099999999999902,2015
2015-02-18,SHORT,1.13961,1.13779,1.1405699999999999,1.1405699999999999,TARGET,18.199999999999328,9.599999999998499,7.599999999998499,5.599999999998499,2015
2015-02-23,SHORT,1.13626,1.13511,1.137575,1.13511,STOP,11.499999999999844,-11.499999999999844,-13.499999999999844,-15.499999999999844,2015
2015-02-24,SHORT,1.13229,1.13111,1.133205,1.13111,STOP,11.799999999999589,-11.799999999999589,-13.799999999999589,-15.799999999999589,2015
2015-02-26,SHORT,1.13593,1.13511,1.1365750000000001,1.1365750000000001,TARGET,8.20000000000043,6.450000000000067,4.450000000000067,2.450000000000067,2015
2015-02-27,SHORT,1.12051,1.11965,1.1207799999999999,1.1207799999999999,TARGET,8.599999999998609,2.6999999999999247,0.6999999999999247,-1.3000000000000753,2015
2015-03-06,SHORT,1.10169,1.10095,1.102365,1.10095,STOP,7.399999999999629,-7.399999999999629,-9.399999999999629,-11.399999999999629,2015
2015-03-17,LONG,1.0596,1.06131,1.05752,1.05752,TARGET,17.099999999998783,20.800000000000818,18.800000000000818,16.800000000000818,2015
2015-03-23,SHORT,1.07849,1.07673,1.0809099999999998,1.0809099999999998,TARGET,17.599999999999838,24.199999999998667,22.199999999998667,20.199999999998667,2015
2015-04-01,SHORT,1.07317,1.07184,1.07616,1.07616,TARGET,13.300000000000534,29.90000000000048,27.90000000000048,25.90000000000048,2015
2015-04-03,LONG,1.08804,1.08847,1.0873249999999999,1.0873249999999999,TARGET,4.300000000001525,7.150000000000212,5.150000000000212,3.1500000000002117,2015
2015-04-06,SHORT,1.09744,1.0966,1.098535,1.098535,TARGET,8.399999999999519,10.950000000000681,8.950000000000681,6.950000000000681,2015
2015-04-16,SHORT,1.06775,1.066,1.07096,1.066,STOP,17.499999999999183,-17.499999999999183,-19.499999999999183,-21.499999999999183,2015
2015-04-17,LONG,1.07858,1.08037,1.0769799999999998,1.08037,STOP,17.899999999999583,-17.899999999999583,-19.899999999999583,-21.899999999999583,2015
2015-04-22,LONG,1.07482,1.07729,1.07325,1.07729,STOP,24.699999999999722,-24.699999999999722,-26.699999999999722,-28.699999999999722,2015
2015-04-23,SHORT,1.06996,1.06659,1.070965,1.070965,TARGET,33.70000000000095,10.049999999999226,8.049999999999226,6.049999999999226,2015
2015-04-27,SHORT,1.08592,1.0839,1.086275,1.086275,TARGET,20.199999999999108,3.5500000000010523,1.5500000000010523,-0.4499999999989477,2015
2015-04-28,LONG,1.08861,1.08997,1.08786,1.08786,TARGET,13.600000000000279,7.500000000000284,5.500000000000284,3.500000000000284,2015
2015-05-06,LONG,1.12353,1.12705,1.120845,1.120845,TARGET,35.20000000000189,26.849999999998264,24.849999999998264,22.849999999998264,2015
2015-05-07,LONG,1.136,1.13823,1.134555,1.134555,TARGET,22.300000000001763,14.449999999999186,12.449999999999186,10.449999999999186,2015
2015-05-08,SHORT,1.11984,1.11874,1.12275,1.12275,TARGET,10.999999999998789,29.09999999999968,27.09999999999968,25.09999999999968,2015
2015-05-13,LONG,1.12526,1.12613,1.12338,1.12338,TARGET,8.700000000001484,18.799999999998818,16.799999999998818,14.799999999998818,2015
2015-05-20,SHORT,1.11012,1.10675,1.11252,1.11252,TARGET,33.70000000000095,23.999999999999577,21.999999999999577,19.999999999999577,2015
2015-05-21,LONG,1.11284,1.11372,1.111085,1.11372,STOP,8.799999999999919,-8.799999999999919,-10.799999999999919,-12.799999999999919,2015
2015-05-22,LONG,1.11515,1.11555,1.112965,1.11555,STOP,3.9999999999995595,-3.9999999999995595,-5.9999999999995595,-7.9999999999995595,2015
2015-05-25,LONG,1.1,1.10063,1.09862,1.09862,TARGET,6.299999999999084,13.800000000001589,11.800000000001589,9.800000000001589,2015
2015-05-27,LONG,1.09142,1.09209,1.0890499999999999,1.09209,STOP,6.699999999999484,-6.699999999999484,-8.699999999999484,-10.699999999999484,2015
2015-05-28,LONG,1.09227,1.09345,1.09084,1.09345,STOP,11.799999999999589,-11.799999999999589,-13.799999999999589,-15.799999999999589,2015
2015-05-29,SHORT,1.09491,1.09258,1.09559,1.09559,TARGET,23.299999999999432,6.800000000000139,4.800000000000139,2.8000000000001393,2015
2015-06-03,SHORT,1.11419,1.11227,1.116115,1.116115,TARGET,19.199999999999218,19.249999999999545,17.249999999999545,15.249999999999545,2015
2015-06-04,SHORT,1.12573,1.12303,1.1264,1.1264,TARGET,26.999999999999247,6.700000000001705,4.700000000001705,2.7000000000017046,2015
2015-06-09,SHORT,1.12811,1.12627,1.1309300000000002,1.12627,STOP,18.399999999998418,-18.399999999998418,-20.399999999998418,-22.399999999998418,2015
